player,team,position,salary
"Abbott, Andrew",Reds,LHP,742500
"Abrams Jr., CJ",Nationals,SS,752400
"Abreu, Bryan",Astros,RHP,1750000
"Abreu, Jose",Astros,1B,19500000
"Abreu, Wilyer",Red Sox,OF,749500
"Acuna Jr., Ronald",Braves,OF,17000000
"Adam, Jason",Rays,RHP,2700000
"Adames, Willy",Brewers,SS,12250000
"Adams, Austin",Athletics,RHP,800000
"Adams, Riley",Nationals,C,750900
"Adell, Jo",Angels,OF,770000
"Ahmed, Nick",Giants,SS,850000
"Akin, Keegan",Orioles,LHP,825000
"Albies, Ozzie",Braves,2B,7000000
"Alcala, Jorge",Twins,RHP,790000
"Alcantara, Sandy",Marlins,RHP,9300000
"Alexander, Blaze",Diamondbacks,INF,740000
"Alexander, Scott",Athletics,LHP,2250000
"Alexander, Tyler",Rays,LHP,1950000
"Allen, Logan",Guardians,LHP,744300
"Allen, Nick",Athletics,SS,745000
"Almonte, Yency",Cubs,RHP,1900000
"Alonso, Pete",Mets,1B,20500000
"Altuve, Jose",Astros,2B,29000000
"Alvarado, Jose",Phillies,LHP,9025000
"Alvarez, Francisco",Mets,C,762500
"Alvarez, Yordan",Astros,DH,10833333
"Alzolay, Adbert",Cubs,RHP,2110000
"Amaya, Miguel",Cubs,C,746500
"Anderson, Chase",Red Sox,RHP,1250000
"Anderson, Nick",Royals,RHP,1575000
"Anderson, Tim",Marlins,SS,5000000
"Anderson, Tyler",Angels,LHP,13000000
"Andujar, Miguel",Athletics,OF,1700000
"Antone, Tejay",Reds,RHP,830000
"Aranda, Jonathan",Rays,INF,742800
"Arcia, Orlando",Braves,SS,2000000
"Arenado, Nolan",Cardinals,3B,32675167
"Arias, Gabriel",Guardians,INF,744100
"Armstrong, Shawn",Rays,RHP,2050000
"Arozarena, Randy",Rays,OF,8100000
"Arraez, Luis",Marlins,2B,10600000
"Ashcraft, Graham",Reds,RHP,750000
"Assad, Javier",Cubs,RHP,755000
"Avila, Pedro",Padres,RHP,746600
"Azocar, Jose",Padres,OF,745700
"Bachman, Sam",Angels,RHP,750000
"Bader, Harrison",Mets,OF,10500000
"Bae, Ji-hwan",Pirates,2B,755000
"Baez, Javier",Tigers,SS,25000000
"Bailey, Patrick",Giants,C,747500
"Banks, Tanner",White Sox,LHP,755050
"Bard, Daniel",Rockies,RHP,9500000
"Barlow, Scott",Guardians,RHP,6700000
"Barnes, Austin",Dodgers,C,3500000
"Barnes, Matt",Nationals,RHP,2000000
"Barnhart, Tucker",Diamondbacks,C,740000
"Bart, Joey",Giants,C,770000
"Bassitt, Chris",Blue Jays,RHP,22000000
"Baty, Brett",Mets,3B,750000
"Bauers, Jake",Brewers,1B,1350000
"Baumann, Michael",Orioles,RHP,748900
"Bautista, Felix",Orioles,RHP,1000000
"Baz, Shane",Rays,RHP,743600
"Bazardo, Eduard",Mariners,RHP,870600
"Beck, Tristan",Giants,RHP,747500
"Bednar, David",Pirates,RHP,4510000
"Beede, Tyler",Guardians,RHP,1200000
"Beeks, Jalen",Rockies,LHP,1675000
"Beeter, Clayton",Yankees,RHP,740000
"Bell, Josh",Marlins,1B,16500000
"Bellinger, Cody",Cubs,OF,27500000
"Bello, Brayan",Red Sox,RHP,1166667
"Bender, Anthony",Marlins,RHP,770000
"Benintendi, Andrew",White Sox,OF,17100000
"Benson, Will",Reds,OF,750000
"Berrios, Jose",Blue Jays,RHP,18000000
"Berroa, Prelander",White Sox,RHP,740350
"Berti, Jon",Yankees,INF,3625000
