name,team,salary_2024,signing_status,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
A'ja Wilson,Aces,227303,RFA,38,38,1308,1021,385,743,0.518,366,683,0.536,19,60,0.317,232,275,0.8440000000000001,79,372,451,88,48,68,98,67
Arike Ogunbowale,Wings,241984,--,38,38,1466,845,279,729,0.3829999999999999,167,405,0.412,112,324,0.34600000000000003,175,190,0.921,29,144,173,195,103,81,11,107
Kahleah Copper,Mercury,241984,Core,37,37,1197,782,273,628,0.435,204,408,0.5,69,220,0.314,167,207,0.807,24,144,168,84,110,29,3,121
Breanna Stewart,Liberty,205000,Core,38,38,1243,777,265,578,0.458,219,422,0.519,46,156,0.295,201,238,0.845,61,262,323,134,65,64,48,80
Caitlin Clark,Fever,76535,--,40,40,1416,769,242,580,0.417,120,225,0.5329999999999999,122,355,0.344,163,180,0.906,14,213,227,337,223,53,27,111
Kelsey Mitchell,Fever,212000,--,40,38,1280,767,282,602,0.468,173,331,0.523,109,271,0.402,94,113,0.8320000000000001,27,72,99,71,64,27,7,63
Jewell Loyd,Storm,241984,Core,37,37,1246,729,224,622,0.36,165,407,0.405,59,215,0.27399999999999997,222,252,0.8809999999999999,26,140,166,135,85,52,8,67
Napheesa Collier,Lynx,215469,--,34,34,1181,694,268,545,0.4920000000000001,237,445,0.5329999999999999,31,100,0.31,127,158,0.804,76,254,330,115,70,65,48,87
Dearica Hamby,Sparks,189000,--,40,40,1346,691,268,523,0.512,238,435,0.547,30,88,0.341,125,198,0.631,61,307,368,139,118,68,8,110
Sabrina Ionescu,Liberty,202000,--,38,38,1221,691,239,607,0.394,132,285,0.463,107,322,0.332,106,118,0.898,28,141,169,235,104,38,13,46
Kelsey Plum,Aces,200000,--,38,38,1291,677,232,549,0.423,122,250,0.488,110,299,0.368,103,119,0.866,10,88,98,159,93,27,1,104
Allisha Gray,Dream,185000,RFA,40,40,1327,622,205,509,0.403,136,307,0.4429999999999999,69,202,0.342,143,186,0.769,44,131,175,107,67,42,29,94
Nneka Ogwumike,Storm,204500,UFA,37,37,1177,619,252,493,0.511,222,419,0.53,30,74,0.405,85,97,0.8759999999999999,69,211,280,86,49,69,20,84
Skylar Diggins-Smith,Storm,208219,UFA,40,40,1262,605,218,510,0.4270000000000001,179,376,0.476,39,134,0.29100000000000004,130,150,0.867,28,77,105,257,110,68,36,112
